c,k,accel
980,9000,3.26317153376578
980,9100,3.26103977724141
980,9200,3.25891503053684
980,9300,3.25679728213123
980,9400,3.25468652051519
980,9500,3.25258273419101
980,9600,3.2504859116724
980,9700,3.24839604148465
980,9800,3.24631311216458
980,9900,3.24423711226054
980,10000,3.24216803033233
980,10100,3.24010585495125
980,10200,3.23805057470015
980,10300,3.23600217817335
980,10400,3.23396065397658
980,10500,3.2319259907271
980,10600,3.22989817705353
980,10700,3.22787720159609
980,10800,3.22586305300631
980,10900,3.2238557199472
980,11000,3.22185519109318
980,11100,3.21986145513011
980,11200,3.21787450075521
980,11300,3.21589431667712
980,11400,3.2139208916159
980,11500,3.21195421430294
980,11600,3.20999427348103
980,11700,3.20804105790432
980,11800,3.20609455633829
980,11900,3.20415475755983
980,12000,3.20222165035712
980,12100,3.20029522352968
980,12200,3.19837546588834
980,12300,3.19646236625528
980,12400,3.19455591346398
980,12500,3.19265609635915
980,12600,3.1907629037969
980,12700,3.18887632464452
980,12800,3.18699634778067
980,12900,3.18512296209519
980,13000,3.18325615648922
980,13100,3.18139591987514
980,13200,3.17954224117657
980,13300,3.17769510932835
980,13400,3.1758545132766
980,13500,3.17402044197856
980,13600,3.17219288440278
980,13700,3.17037182952894
980,13800,3.16855726634791
980,13900,3.1667491838618
980,14000,3.16494757108385
980,14100,3.16315241703847
980,14200,3.16136371076126
980,14300,3.1595814412989
980,14400,3.1578055977093
980,14500,3.15603616906148
980,14600,3.15427314443552
980,14700,3.15251651292271
980,14800,3.1507662636254
980,14900,3.14902238565702
980,15000,3.14728486814218
980,15100,3.14555370021645
980,15200,3.14382887102663
980,15300,3.14211036973044
980,15400,3.14039818549675
980,15500,3.13869230750549
980,15600,3.13699272494757
980,15700,3.13529942702497
980,15800,3.13361240295073
980,15900,3.13193164194888
980,16000,3.13025713325445
980,16100,3.1285888661135
980,16200,3.12692682978309
980,16300,3.12527101353122
980,16400,3.12362140663696
980,16500,3.12197799839025
980,16600,3.12034077809208
980,16700,3.11870973505435
980,16800,3.11708485859991
980,16900,3.11546613806258
980,17000,3.11385356278705
980,17100,3.11224712212903
980,17200,3.11064680545506
980,17300,3.10905260214263
980,17400,3.1074645015801
980,17500,3.10588249316678
980,17600,3.1043065663128
980,17700,3.10273671043922
980,17800,3.10117291497792
980,17900,3.09961516937168
980,18000,3.0980634630741
980,18100,3.09651778554962
980,18200,3.09497812627359
980,18300,3.09344447473211
980,18400,3.0919168204221
980,18500,3.09039515285136
980,18600,3.08887946153841
980,18700,3.08736973601263
980,18800,3.08586596581417
980,18900,3.08436814049397
980,19000,3.0828762496137
980,19100,3.08139028274586
980,19200,3.07991022947363
980,19300,3.07843607939102
980,19400,3.07696782210273
980,19500,3.07550544722421
980,19600,3.07404894438165
980,19700,3.07259830321188
980,19800,3.07115351336256
980,19900,3.06971456449195
980,20000,3.06828144626907
980,20100,3.0668541483736
980,20200,3.06543266049587
980,20300,3.06878582676593
980,20400,3.07863456109534
980,20500,3.08818554479051
980,20600,3.09743698438948
980,20700,3.10638706395832
980,20800,3.11503392056984
980,20900,3.12337562129534
980,21000,3.13141014183705
980,21100,3.1391353469102
980,21200,3.14654897248416
980,21300,3.15364860997633
980,21400,3.16043169248193
980,21500,3.16689548311221
980,21600,3.1730370655054
980,21700,3.17885333655771
980,21800,3.18434100141413
980,21900,3.18949657074662
980,22000,3.1943163603311
980,22100,3.19879649293009
980,22200,3.20293290247012
980,22300,3.20672134048941
980,22400,3.21015738483022
980,22500,3.21323645052621
980,22600,3.21651833193791
980,22700,3.22052832258767
980,22800,3.22430220227205
980,22900,3.2278365367431
980,23000,3.23112798154556
980,23100,3.23417328629502
980,23200,3.23696929889121
980,23300,3.23951296967368
980,23400,3.24180135550129
980,23500,3.24383162376193
980,23600,3.24560105629958
980,23700,3.24710705325849
980,23800,3.24834713683701
980,23900,3.24931895495065
980,24000,3.25002028479284
980,24100,3.25044903629989
980,24200,3.25060325550542
980,24300,3.25048112778853
980,24400,3.25008098100801
980,24500,3.24940128852167
980,24600,3.24844067208372
980,24700,3.24719790462488
980,24800,3.24567191290268
980,24900,3.24386178002688
980,25000,3.24176674785605
980,25100,3.23938621925878
980,25200,3.23671976024449
980,25300,3.23376710195504
980,25400,3.23052814252343
980,25500,3.22700294878615
980,25600,3.22319175786366
980,25700,3.21909497859387
980,25800,3.21471319282302
980,25900,3.22175135412194
980,26000,3.24236124822637
980,26100,3.26287641640434
980,26200,3.28328417678868
980,26300,3.30357172708435
980,26400,3.32372617260587
980,26500,3.34373455471767
980,26600,3.36358387959979
980,26700,3.38326114726432
980,26800,3.40275338074441
980,26900,3.42204765538053
980,27000,3.44113112812547
980,27100,3.45999106679446
980,27200,3.4786148791809
980,27300,3.49699014196493
980,27400,3.51510462933899
980,27500,3.5329463412809
980,27600,3.55050353139454
980,27700,3.56776473425763
980,27800,3.58471879220102
980,27900,3.60135488145276
980,28000,3.61766253758802
980,28100,3.63363168021342
980,28200,3.64925263683325
980,28300,3.66451616583404
980,28400,3.67941347853565
980,28500,3.6939362602527
980,28600,3.70807669032061
980,28700,3.72182746103621
980,28800,3.7351817954684
980,28900,3.74813346410251
980,29000,3.76067680027345
980,29100,3.77280671436254
980,29200,3.78451870671505
980,29300,3.7958088792628
980,29400,3.80667394581893
980,29500,3.81711124102679
980,29600,3.82711872794523
980,29700,3.83669500425622
980,29800,3.84583930708289
980,29900,3.85455151641187
980,30000,3.86283215711508
1005,9000,3.30063974579267
1005,9100,3.29848561987365
1005,9200,3.29633838266131
1005,9300,3.29419802288837
1005,9400,3.29206452929881
1005,9500,3.28993789064797
1005,9600,3.28781809570236
1005,9700,3.28570513323985
1005,9800,3.2835989920495
1005,9900,3.28149966093163
1005,10000,3.27940712869779
1005,10100,3.27732138417081
1005,10200,3.27524241618462
1005,10300,3.2731702135845
1005,10400,3.27110476522686
1005,10500,3.26904605997931
1005,10600,3.26699408672067
1005,10700,3.26494883434093
1005,10800,3.26291029174123
1005,10900,3.26087844783389
1005,11000,3.25885329154241
1005,11100,3.25683481180143
1005,11200,3.25482299755669
1005,11300,3.25281783776507
1005,11400,3.25081932139462
1005,11500,3.24882743742447
1005,11600,3.24684217484487
1005,11700,3.24486352265712
1005,11800,3.24289146987369
1005,11900,3.24092600551808
1005,12000,3.23896711862488
1005,12100,3.23701479823976
1005,12200,3.23506903341939
1005,12300,3.23312981323159
1005,12400,3.23119712675514
1005,12500,3.22927096307984
1005,12600,3.22735131130665
1005,12700,3.2254381605474
1005,12800,3.22353149992496
1005,12900,3.22163131857327
1005,13000,3.21973760563724
1005,13100,3.21785035027269
1005,13200,3.21596954164652
1005,13300,3.21409516893655
